student_id,sex,age,famsize,Pstatus,Medu,Fedu,SS1_result_avg,SS2_result_avg,SS3_mock_result,absences,studytime,extra_tutoring,school_support,internet_access,CBT_preparation,health_status,wants_higher_education,wants_trade,CBT_outcome
1,M,15,GT3,T,SSCE,No schooling,60,64,Pass,4,2,yes,no,yes,yes,Average,yes,no,High
2,F,15,GT3,T,SSCE,No schooling,44,74,Pass,6,2,no,no,yes,yes,Average,yes,yes,High
3,F,15,LE3,T,SSCE,Bachelor,56,56,Fail,3,3,yes,no,no,yes,Average,no,yes,High
4,F,16,LE3,T,PhD,SSCE,54,46,Fail,6,1,yes,no,yes,yes,Good,no,no,Low
5,M,16,GT3,T,SSCE,Bachelor,58,57,Fail,7,4,yes,yes,no,yes,Average,no,no,Low
6,M,15,LE3,A,Bachelor,SSCE,56,35,Fail,4,1,no,no,no,no,Poor,yes,no,Low
7,M,17,GT3,T,No schooling,SSCE,58,61,Fail,3,4,no,yes,yes,yes,Good,yes,no,Low
8,F,15,LE3,A,Bachelor,SSCE,51,62,Fail,8,4,yes,yes,yes,yes,Average,yes,yes,High
9,F,15,GT3,A,Masters,Bachelor,55,74,Fail,1,4,no,no,no,no,Poor,yes,yes,High
10,F,15,GT3,T,SSCE,SSCE,42,56,Fail,5,3,no,yes,yes,yes,Poor,no,no,High
11,M,13,LE3,T,SSCE,No schooling,51,62,Pass,6,1,no,yes,no,yes,Good,yes,yes,High
12,F,16,GT3,T,Bachelor,Bachelor,68,49,Pass,5,3,yes,yes,yes,yes,Good,yes,yes,High
13,F,16,LE3,A,Bachelor,SSCE,58,54,Pass,5,2,no,no,no,yes,Average,yes,no,High
14,M,15,GT3,T,Bachelor,SSCE,54,42,Fail,5,4,yes,no,yes,no,Average,yes,no,Low
15,M,16,GT3,T,SSCE,Bachelor,73,56,Pass,5,2,yes,no,no,yes,Average,yes,no,High
16,M,16,GT3,T,SSCE,SSCE,41,54,Pass,6,2,yes,no,no,yes,Good,yes,no,High
17,M,14,GT3,A,PhD,Bachelor,43,60,Pass,5,4,no,no,no,yes,Very Good,yes,no,Low
18,F,15,GT3,T,Masters,SSCE,72,51,Fail,5,1,no,no,yes,yes,Average,yes,yes,High
19,M,16,LE3,A,Bachelor,Bachelor,55,58,Pass,8,2,no,yes,no,yes,Average,yes,no,High
20,M,14,LE3,T,Masters,Bachelor,52,54,Pass,3,2,no,no,yes,yes,Very Poor,yes,no,High
21,F,16,GT3,T,Bachelor,SSCE,43,54,Pass,5,3,no,no,no,yes,Poor,no,yes,High
22,M,14,GT3,T,SSCE,Bachelor,59,58,Fail,3,3,no,yes,no,yes,Good,yes,no,High
23,M,16,GT3,T,SSCE,Masters,60,58,Pass,3,3,yes,yes,yes,yes,Poor,yes,no,High
24,M,15,GT3,T,SSCE,SSCE,44,65,Pass,7,4,yes,no,yes,no,Average,yes,no,High
25,F,14,GT3,T,Bachelor,SSCE,53,56,Fail,4,1,yes,no,yes,no,Good,no,no,Low
26,F,17,GT3,A,No schooling,Bachelor,51,54,Pass,4,2,yes,no,yes,yes,Average,yes,no,Low
27,M,15,GT3,T,SSCE,Bachelor,57,56,Pass,2,3,no,no,no,yes,Good,no,no,High
