student_id,SS1_result_avg,SS2_result_avg,SS3_mock_result,absences,studytime,extra_tutoring,school_support,internet_access,CBT_preparation,health_status,wants_higher_education,wants_trade,CBT_outcome
1,60,64,Pass,4,2,yes,no,yes,yes,Average,yes,no,High
2,44,74,Pass,6,2,no,no,yes,yes,Average,yes,yes,High
3,56,56,Fail,3,3,yes,no,no,yes,Average,no,yes,High
4,54,46,Fail,6,1,yes,no,yes,yes,Good,no,no,Low
5,58,57,Fail,7,4,yes,yes,no,yes,Average,no,no,Low
6,56,35,Fail,4,1,no,no,no,no,Poor,yes,no,Low
7,58,61,Fail,3,4,no,yes,yes,yes,Good,yes,no,Low
8,51,62,Fail,8,4,yes,yes,yes,yes,Average,yes,yes,High
9,55,74,Fail,1,4,no,no,no,no,Poor,yes,yes,High
10,42,56,Fail,5,3,no,yes,yes,yes,Poor,no,no,High
11,51,62,Pass,6,1,no,yes,no,yes,Good,yes,yes,High
12,68,49,Pass,5,3,yes,yes,yes,yes,Good,yes,yes,High
13,58,54,Pass,5,2,no,no,no,yes,Average,yes,no,High
14,54,42,Fail,5,4,yes,no,yes,no,Average,yes,no,Low
15,73,56,Pass,5,2,yes,no,no,yes,Average,yes,no,High
16,41,54,Pass,6,2,yes,no,no,yes,Good,yes,no,High
17,43,60,Pass,5,4,no,no,no,yes,Very Good,yes,no,Low
18,72,51,Fail,5,1,no,no,yes,yes,Average,yes,yes,High
19,55,58,Pass,8,2,no,yes,no,yes,Average,yes,no,High
20,52,54,Pass,3,2,no,no,yes,yes,Very Poor,yes,no,High
21,43,54,Pass,5,3,no,no,no,yes,Poor,no,yes,High
22,59,58,Fail,3,3,no,yes,no,yes,Good,yes,no,High
23,60,58,Pass,3,3,yes,yes,yes,yes,Poor,yes,no,High
24,44,65,Pass,7,4,yes,no,yes,no,Average,yes,no,High
25,53,56,Fail,4,1,yes,no,yes,no,Good,no,no,Low
26,51,54,Pass,4,2,yes,no,yes,yes,Average,yes,no,Low
27,57,56,Pass,2,3,no,no,no,yes,Good,no,no,High
28,43,50,Fail,6,3,no,no,yes,yes,Average,yes,no,High
29,67,54,Pass,3,2,no,no,no,yes,Average,yes,no,Low
30,64,78,Fail,7,1,yes,no,yes,yes,Very Good,yes,no,Low
31,51,48,Pass,7,1,no,no,no,yes,Good,yes,no,High
32,52,55,Pass,8,1,yes,yes,yes,no,Average,yes,no,High
33,53,54,Fail,6,2,no,yes,yes,yes,Good,yes,no,High
34,47,55,Fail,7,1,yes,no,no,no,Good,yes,yes,High
35,50,54,Pass,4,2,no,yes,no,yes,Good,yes,no,High
36,52,60,Pass,7,2,no,yes,no,yes,Good,yes,no,Low
37,71,40,Fail,2,3,no,no,no,no,Average,no,no,Low
38,64,68,Fail,5,4,yes,yes,no,yes,Average,yes,yes,Low
39,64,64,Pass,3,2,yes,no,no,no,Good,yes,no,High
40,58,45,Fail,7,2,yes,yes,yes,yes,Poor,yes,no,High
41,43,35,Pass,5,4,yes,no,yes,no,Good,yes,no,High
42,54,48,Pass,7,2,no,no,no,no,Average,yes,no,High
43,64,55,Pass,9,4,no,no,no,yes,Good,yes,no,High
44,42,83,Pass,6,1,yes,no,no,no,Average,yes,no,High
45,61,63,Pass,5,4,no,no,yes,yes,Average,yes,yes,High
46,78,39,Pass,7,2,no,no,no,yes,Good,yes,no,Low
47,65,51,Pass,1,1,yes,no,no,yes,Good,no,no,High
48,69,57,Pass,3,4,yes,yes,no,yes,Average,yes,no,High
49,57,60,Pass,3,4,no,yes,yes,yes,Very Poor,no,no,Low
50,64,44,Pass,11,2,no,yes,no,yes,Good,no,no,Low
51,47,56,Fail,4,4,no,yes,no,no,Very Good,no,no,High
52,62,50,Pass,2,1,yes,yes,no,yes,Poor,yes,no,High
53,61,46,Fail,5,3,yes,yes,no,no,Average,yes,yes,Low
54,57,60,Pass,7,2,no,no,no,yes,Average,yes,no,High
55,68,65,Pass,2,2,yes,no,yes,yes,Very Good,no,no,Low
56,49,66,Pass,5,3,yes,yes,no,no,Poor,yes,no,High
57,53,63,Fail,2,2,no,no,no,no,Poor,yes,yes,High
58,55,53,Pass,1,1,no,no,yes,no,Poor,no,no,High
59,44,65,Pass,6,2,no,no,yes,yes,Good,no,no,Low
60,57,61,Fail,4,2,yes,no,no,yes,Very Good,yes,no,Low
61,37,59,Fail,7,3,yes,yes,no,yes,Average,yes,yes,High
62,65,51,Fail,7,2,no,no,no,yes,Poor,yes,no,High
63,55,53,Pass,6,3,no,no,yes,yes,Average,yes,no,High
64,49,58,Pass,6,2,no,no,no,yes,Poor,no,no,Low
65,46,82,Fail,6,2,no,no,no,yes,Very Poor,no,no,Low
66,52,61,Pass,7,2,no,no,no,no,Very Good,yes,no,High
67,61,51,Fail,4,3,no,no,no,no,Very Good,yes,no,Low
68,60,49,Fail,9,1,yes,no,no,yes,Very Good,yes,no,High
69,47,53,Fail,4,2,no,yes,yes,yes,Average,yes,no,High
70,46,79,Pass,6,2,no,no,no,yes,Average,yes,no,High
71,61,54,Pass,7,4,yes,no,no,yes,Good,yes,yes,High
72,47,67,Fail,4,1,no,no,yes,no,Poor,no,yes,Low
73,55,54,Pass,6,3,yes,no,no,yes,Poor,no,no,High
74,56,60,Pass,2,2,no,yes,yes,no,Average,yes,yes,Low
75,58,65,Pass,6,1,yes,yes,no,yes,Very Good,yes,yes,Low
76,63,52,Pass,4,2,yes,no,no,no,Good,yes,no,Low
77,42,51,Pass,3,1,no,yes,no,yes,Poor,yes,yes,High
78,35,74,Fail,3,2,yes,yes,no,no,Very Poor,yes,no,Low
79,49,67,Pass,5,4,no,no,no,yes,Good,yes,no,High
80,73,65,Pass,3,1,yes,yes,no,yes,Good,yes,no,Low
81,75,65,Pass,4,2,no,yes,no,yes,Good,yes,yes,High
82,73,62,Pass,3,2,no,no,no,yes,Poor,no,no,Low
83,53,78,Fail,6,2,no,yes,no,yes,Average,no,yes,Low
84,37,58,Fail,9,2,no,yes,no,no,Good,yes,no,Low
85,31,63,Pass,5,4,no,yes,yes,yes,Very Good,yes,no,High
86,48,43,Fail,6,1,yes,no,no,yes,Poor,yes,no,High
87,53,49,Pass,4,3,yes,no,yes,no,Average,yes,yes,High
88,68,45,Fail,3,2,yes,yes,no,yes,Poor,yes,yes,High
89,63,70,Pass,9,2,no,yes,yes,yes,Average,yes,no,High
90,57,32,Pass,3,2,no,no,no,no,Poor,yes,no,Low
91,46,53,Pass,9,2,yes,yes,yes,yes,Good,yes,no,Low
92,45,28,Fail,4,1,yes,no,yes,yes,Average,yes,no,High
93,57,49,Pass,8,1,yes,no,no,no,Average,yes,no,Low
94,61,53,Fail,3,2,yes,yes,no,yes,Average,yes,yes,Low
95,58,71,Pass,3,3,no,no,no,no,Very Good,yes,no,Low
96,44,61,Fail,5,1,no,yes,yes,yes,Good,yes,no,Low
97,61,49,Pass,8,3,no,yes,no,yes,Very Poor,yes,no,Low
98,59,68,Fail,3,2,yes,yes,yes,yes,Very Poor,yes,no,High
99,44,58,Pass,4,4,no,no,no,no,Average,no,yes,Low
100,47,58,Pass,8,2,yes,yes,no,no,Average,no,no,High
101,61,45,Fail,3,2,yes,no,yes,yes,Average,yes,no,Low
102,52,48,Fail,3,4,no,yes,no,yes,Good,yes,yes,Low
103,70,49,Fail,2,2,yes,no,no,yes,Poor,yes,yes,High
104,60,58,Pass,7,2,yes,yes,no,yes,Very Good,no,no,High
105,50,58,Pass,2,2,yes,yes,yes,no,Very Poor,no,no,High
106,54,73,Pass,6,2,no,no,no,no,Poor,yes,yes,High
107,55,61,Pass,5,4,no,no,no,no,Average,yes,yes,High
108,47,30,Pass,6,3,no,no,no,yes,Average,no,no,Low
109,45,60,Pass,2,3,no,yes,no,yes,Poor,yes,yes,High
110,62,43,Fail,10,4,yes,no,yes,yes,Good,yes,yes,Low
111,63,48,Fail,3,2,yes,no,yes,yes,Average,yes,no,High
112,61,49,Pass,6,1,yes,yes,yes,yes,Very Poor,yes,yes,High
113,70,51,Pass,5,3,no,no,no,no,Very Good,yes,no,Low
114,49,44,Pass,7,2,yes,no,no,yes,Very Good,yes,no,High
115,71,60,Fail,6,2,no,no,no,yes,Good,yes,no,High
116,45,43,Pass,7,2,yes,no,no,yes,Good,yes,no,High
117,44,61,Fail,4,4,no,no,no,no,Poor,yes,no,High
118,37,80,Pass,7,2,no,yes,yes,no,Average,no,yes,High
119,50,44,Pass,2,3,yes,no,no,yes,Average,no,no,High
120,49,55,Fail,6,2,no,yes,no,no,Very Good,yes,no,High
121,60,32,Fail,7,1,yes,no,no,yes,Average,no,no,High
122,57,54,Pass,5,3,yes,yes,yes,yes,Very Poor,no,no,Low
123,43,64,Pass,4,4,yes,yes,no,yes,Average,no,no,High
124,51,65,Fail,5,2,no,no,no,yes,Very Poor,no,no,Low
125,51,58,Pass,2,2,yes,no,yes,yes,Poor,no,yes,High
126,37,66,Fail,8,2,yes,no,no,yes,Average,yes,yes,Low
127,45,83,Fail,5,3,no,no,no,yes,Average,yes,no,High
128,47,75,Fail,6,1,yes,yes,yes,yes,Very Poor,yes,yes,High
129,69,52,Pass,5,2,yes,no,yes,yes,Poor,yes,no,High
130,56,43,Pass,6,3,no,no,no,no,Average,no,no,High
131,61,53,Fail,8,2,yes,no,yes,yes,Good,yes,no,Low
132,40,48,Pass,7,2,yes,no,no,yes,Average,no,no,High
133,66,62,Pass,0,4,no,no,no,yes,Good,no,no,High
134,68,46,Fail,4,4,yes,no,yes,yes,Poor,yes,no,Low
135,35,57,Pass,7,4,yes,no,yes,yes,Poor,yes,no,High
136,47,66,Fail,7,2,yes,yes,no,yes,Good,yes,no,High
137,59,56,Fail,2,4,no,no,yes,yes,Average,yes,yes,High
138,61,48,Fail,3,3,yes,yes,no,no,Average,no,no,High
139,48,69,Fail,9,2,yes,no,no,yes,Very Good,no,no,High
140,51,39,Pass,7,3,yes,no,no,no,Average,yes,no,Low
141,49,54,Pass,8,1,yes,yes,yes,no,Very Poor,yes,no,High
142,56,57,Fail,4,3,no,yes,no,yes,Very Good,yes,no,Low
143,66,58,Pass,2,3,yes,no,no,yes,Very Poor,yes,no,Low
144,47,59,Fail,6,3,no,no,yes,yes,Good,no,no,Low
145,65,64,Fail,2,2,no,no,yes,yes,Average,yes,no,High
146,47,57,Pass,4,3,yes,yes,no,yes,Average,yes,yes,High
147,46,54,Fail,9,2,yes,yes,yes,yes,Average,yes,yes,High
